question_id,title,paragraph_id,question,ans_1,ans_2,ans_3,question_id_unique
0,Super_Bowl_50,1,スーパーボウル50でAFCを代表したのはどのチームか？,Denver Broncos,Denver Broncos,Denver Broncos,56be4db0acb8001400a502ec
1,Super_Bowl_50,1,スーパーボウル50でNFCを代表したのはどのチームか？,Carolina Panthers,Carolina Panthers,Carolina Panthers,56be4db0acb8001400a502ed
2,Super_Bowl_50,1,スーパーボウル50はどこで開催されたか？,カリフォルニアのサンタクララ,Levi's Stadium,カリフォルニアのサンタクララにある、サンフランシスコのベイエリアのLevi's Stadium,56be4db0acb8001400a502ee
3,Super_Bowl_50,1,スーパーボウル50で優勝したのはNFLのどのチームか？,Denver Broncos,Denver Broncos,Denver Broncos,56be4db0acb8001400a502ef
4,Super_Bowl_50,1,スーパーボウル50は50周年記念を強調するために使用されたのはどの色か？,黄金,黄金,黄金,56be4db0acb8001400a502f0
5,Super_Bowl_50,1,スーパーボウル50のテーマは何か？,「黄金の記念日」,黄金の記念日,「黄金の記念日」,56be8e613aeaaa14008c90d1
6,Super_Bowl_50,1,試合は何日に行われたか？,2016年2月7日,2016年2月7日,2016年2月7日,56be8e613aeaaa14008c90d2
7,Super_Bowl_50,1,AFCとは何の略か？,アメリカンフットボールカンファレンス,アメリカンフットボールカンファレンス,アメリカンフットボールカンファレンス,56be8e613aeaaa14008c90d3
8,Super_Bowl_50,1,スーパーボウル50のテーマは何か？,「黄金の記念日」,金色,「黄金の記念日」,56bea9923aeaaa14008c91b9
9,Super_Bowl_50,1,AFCとは何の略か？,アメリカンフットボールカンファレンス,アメリカンフットボールカンファレンス,アメリカンフットボールカンファレンス,56bea9923aeaaa14008c91ba
10,Super_Bowl_50,1,スーパーボウル50は何日に開催されたか？,2016年2月7日,2016年2月7日,2月7日,56bea9923aeaaa14008c91bb
11,Super_Bowl_50,1,スーパーボウル50で優勝したのは誰か？,Denver Broncos,Denver Broncos,Denver Broncos,56beace93aeaaa14008c91df
12,Super_Bowl_50,1,スーパーボウル50はどの会場で開催されたか？,Levi's Stadium,Levi's Stadium,カリフォルニアのサンタクララにある、サンフランシスコのベイエリアのLevi's Stadium,56beace93aeaaa14008c91e0
13,Super_Bowl_50,1,スーパーボウル50はどの市で開催されたか？,サンタクララ,サンフランシスコ,サンタクララ,56beace93aeaaa14008c91e1
14,Super_Bowl_50,1,ローマ数字を使用した場合、スーパーボウル50は何と呼ばれるか？,Super Bowl L,Super Bowl L,Super Bowl L,56beace93aeaaa14008c91e2
15,Super_Bowl_50,1,スーパーボウル50はどのシーズンのNFLの優勝チームを決定するものか？,2015,2015年,2015,56beace93aeaaa14008c91e3
16,Super_Bowl_50,1,Denver BroncosがSuper Bowlタイトルを3回防御したのはどの年か？,2015,2016,2015年,56bf10f43aeaaa14008c94fd
17,Super_Bowl_50,1,どの市でスーパーボウル50は開催されたか？,サンタクララ,サンフランシスコ,サンフランシスコ,56bf10f43aeaaa14008c94fe
18,Super_Bowl_50,1,スーパーボウル50が開催されたのはどのスタジアムか？,Levi's Stadium,Levi's Stadium,Levi's Stadium,56bf10f43aeaaa14008c94ff
19,Super_Bowl_50,1,スーパーボウル50の最終スコアは何か？,24-10,24-10,24-1,56bf10f43aeaaa14008c9500
20,Super_Bowl_50,1,何月何日にスーパーボウル50は開催されたか？,2016年2月7日,2016年2月7日,2月7日,56bf10f43aeaaa14008c9501
21,Super_Bowl_50,1,スーパーボウル50は何年か？,2015,2016,2016年,56d20362e7d4791d009025e8
22,Super_Bowl_50,1,AFCのチャンピオンはどのチームか？,Denver Broncos,Denver Broncos,Denver Broncos,56d20362e7d4791d009025e9
23,Super_Bowl_50,1,NFCのチャンピオンはどのチームか？,Carolina Panthers,Carolina Panthers,Carolina Panthers,56d20362e7d4791d009025ea
24,Super_Bowl_50,1,スーパーボウル50で優勝したのは誰か？,Denver Broncos,Denver Broncos,Denver Broncos,56d20362e7d4791d009025eb
25,Super_Bowl_50,1,スーパーボウル50はどのシーズンのNFLの優勝チームを決定するものか？,2015,2015年,2015,56d600e31c85041400946eae
26,Super_Bowl_50,1,スーパーボウル50で優勝したのは誰か？,Denver Broncos,Denver Broncos,Denver Broncos,56d600e31c85041400946eb0
27,Super_Bowl_50,1,スーパーボウル50はどこで開催されたか？,サンタクララ,カリフォルニアのサンタクララにある、サンフランシスコのベイエリアのLevi's Stadium,Levi's Stadium,56d600e31c85041400946eb1
28,Super_Bowl_50,1,NFLの優勝を決める試合の名前は何か？,スーパーボウル50,スーパーボウル50,スーパーボウル50,56d9895ddc89441400fdb50e
29,Super_Bowl_50,1,スーパーボウル50でAFCを代表したのはどのチームか？,Denver Broncos,Denver Broncos,Denver Broncos,56d9895ddc89441400fdb510
30,Warsaw,1,Marie Curieが女性で最初の受賞者となったのは何か？,ノーベル賞,ノーベル賞,ノーベル賞,5733a5f54776f41900660f45
31,Warsaw,1,何年にカジミール・プラスキはワルシャワで生まれたか？,1745年,1745年,1745,5733a5f54776f41900660f48
32,Warsaw,1,ワルシャワで生まれた人のうちもっとも有名な一人は誰か？,Marie Curie,Marie Curie,Marie Curie,5733a5f54776f41900660f44
33,Warsaw,1,フレデリック・ショパンとは誰か？,有名な音楽家,音楽家,有名な音楽家,5733a5f54776f41900660f46
34,Warsaw,1,ショパンは何歳の時に家族とともにワルシャワに引っ越したか？,7ヶ月,7ヶ月,7ヶ月,5733a5f54776f41900660f47
35,Normans,1,ノルマンディはどの国に位置しているか？,フランス,フランス,フランス,56ddde6b9a695914005b9628
36,Normans,1,ノルマン人たちがノルマンディにいたのはいつか？,10世紀と11世紀,10世紀と11世紀,10世紀と11世紀,56ddde6b9a695914005b9629
37,Normans,1,ノース人はどの国からきたのか？,デンマーク、アイスランド、ノルウェー,デンマーク、アイスランド、ノルウェー,デンマーク、アイスランド、ノルウェー,56ddde6b9a695914005b962a
38,Normans,1,ノース人のリーダーは誰か？,ローロ,ローロ,ローロ,56ddde6b9a695914005b962b
39,Normans,1,ノルマン人の明確な文化的及び民族的アイデンティティを初めて獲得したのは何世紀か？,10世紀前半,10世紀前半,10世紀,56ddde6b9a695914005b962c
40,Nikola_Tesla,1,ニコラ・テスラは何年に生まれたか？,1856,1856年,1856年,56df9e2838dc4217001520f6
41,Nikola_Tesla,1,ニコラ・テスラの民族は何か？,セルビア,セルビア系,セルビア系,56df9e2838dc4217001520f8
42,Nikola_Tesla,1,ニコラ・テスラは何年に死んだか？,1943年,1943年,1943年,56df9e2838dc4217001520f9
43,Nikola_Tesla,1,ニコラ・テスラはいつ生まれたか？,1856年,1856年7月10日,1856,56e0b94b7aa994140058e6b7
44,Nikola_Tesla,1,ニコラ・テスラは何年に死んだか？,1943年,1943年,1943年,56e0b94b7aa994140058e6b8
45,Nikola_Tesla,1,ニコラ・テスラの母国はどこか？,セルビア,セルビア,セルビア,56e0b94b7aa994140058e6b9
46,Nikola_Tesla,1,ACとは何の略か？,交流,交流,交流,56e0b94b7aa994140058e6bb
47,Computational_complexity_theory,1,理論計算科学のどの分野が、難易度と関係のクラスによって計算上の問題を大まかに分類するのかを扱うか？,計算複雑性理論,計算複雑性理論,計算複雑性理論,56e16182e3433e1400422e28
48,Computational_complexity_theory,1,計算複雑性理論を用いてどの主な属性を使って計算問題は分類されるか？,固有の難しさ,固有の難しさ,固有の難しさ,56e16182e3433e1400422e29
49,Computational_complexity_theory,1,原則としてコンピュータの解くことのできる問題とは何か？,計算問題,計算問題,計算問題,56e16182e3433e1400422e2a
50,Teacher,1,勉強のコースとは何と呼ばれるか？,カリキュラム,カリキュラム,カリキュラム,56e7477700c9c71400d76f23
51,Teacher,1,教育の科学を表す別の名前は何か？,教育,教育学,教育学,56e7477700c9c71400d76f24
52,Teacher,1,ほとんどの教師はどこから資格を取得するか？,大学やカレッジ,大学やカレッジ,大学やカレッジ,56e7477700c9c71400d76f25
53,Teacher,1,教師は生徒が学習するのを助けるために何を使用することができるか？,授業計画,授業計画,授業計画,56e7477700c9c71400d76f26
54,Teacher,1,教師はどこで教えているのか？,学校もしくはそのほかの公式な教育の場所,学校,学校,56e7477700c9c71400d76f27
55,Martin_Luther,1,マルティン・ルターの国籍は何か？,ドイツ,ドイツ,ドイツ,56f7c651aef2371900625bf5
56,Martin_Luther,1,マルティン・ルターはいつ死んだか？,1546年2月18日,1546年,1546年,56f7c651aef2371900625bf6
57,Martin_Luther,1,ルターはどの組織の教えを拒否したか？,カトリック教会,中世カトリック教会,中世カトリック教会,56f7c651aef2371900625bf7
58,Martin_Luther,1,中世カトリック教会はお金で何を避けることができると主張したか？,神の処罰,罪に対する神の処罰からの自由,神の処罰,56f7c651aef2371900625bf8
59,Martin_Luther,1,ルターが彼の著作の撤回を拒否した時、教会は何をしたか？,破門,破門,破門,56f7c651aef2371900625bf9
60,Southern_California,1,Southern Californiaはしばしば何と略されるか？,SoCal,SoCal,SoCal,5705e26d75f01819005e76d4
61,Southern_California,1,Southern Californiaには、一般的にいくつの郡が含まれているか？,10,10郡,10郡,5705e26d75f01819005e76d5
62,Southern_California,1,カリフォルニアとアメリカ合衆国に対するSouthern Californiaの大きな意義は何か？,経済の中心,主要な経済の中心,経済の中心,5705e26d75f01819005e76d6
63,Southern_California,1,「8つの郡」は何に基づいているか？,人口統計,人口統計,人口統計,5705e26d75f01819005e76d7
64,Southern_California,1,カーンとサンルイスオビスポ郡は何に基づいて追加されているか？,歴史的政治部門,歴史的政治部門,歴史的政治部門,5705e26d75f01819005e76d8
65,Sky_(United_Kingdom),1,Sky TVとBritish Sky Broadcastingの合併により形成されたのはどの企業か？,BSkyB,BSkyB,BSkyB,57092322efce8f15003a7db0
66,Sky_(United_Kingdom),1,イギリス最大のデジタル有料テレビ会社はどれか？,BSkyB,BSkyB,BSkyB,57092322efce8f15003a7db1
67,Sky_(United_Kingdom),1,BSkyBは何年にSky Italiaを買収したか？,2014年,2014,2014,57092322efce8f15003a7db2
68,Sky_(United_Kingdom),1,BSkyBの持株会社の名前は何か？,Sky plc,British Sky Broadcasting Group plc,British Sky Broadcasting Group plc,57092322efce8f15003a7db3
69,Sky_(United_Kingdom),1,BSkyBの英国事業の名称は何か？,Sky UK Limited,Sky UK Limited,Sky UK Limited,57092322efce8f15003a7db4
70,Victoria_(Australia),1,ビクトリア州はどのような種類の経済をもつか？,非常に多様化,多様化,非常に多様化,570d2417fed7b91900d45c3d
71,Victoria_(Australia),1,ビクトリア州の総生産国総生産はオーストラリアで何位にランクされるか？,2位,2位,2位,570d2417fed7b91900d45c3e
72,Victoria_(Australia),1,一人当たりGSPでビクトリア州は何位にランクされているか？,4位,4位,4位,570d2417fed7b91900d45c3f
73,Victoria_(Australia),1,ビクトリア州のどの市がオーストラリアのスポーツの首都と呼ばれているか？,メルボルン,メルボルン,メルボルン,570d2417fed7b91900d45c40
74,Victoria_(Australia),1,オーストラリアの最大のスタジアムは何か？,メルボルンクリケットグラウンド,メルボルンクリケットグラウンド,メルボルンクリケットグラウンド,570d2417fed7b91900d45c41
75,Huguenot,1,フランスのユグノーは主にどこに集まったのか？,フランスの南部及び中部,フランスの南部及び中部,フランスの南部及び中部,57105da9a58dae1900cd699e
76,Huguenot,1,ピーク時のユグノーのカトリック教徒に対する割合はどうだったか？,約8分の1,約8分の1,約8分の1,57105da9a58dae1900cd699f
77,Huguenot,1,宗教戦争はいつ戦ったのか？,1562年から1598年,1562年から1598年,1562年から1598年,57105da9a58dae1900cd69a0
78,Huguenot,1,宗教戦争を終了させたのは何条約か？,ナンテスの勅令,ナンテスの勅令,ナンテスの勅令,57105da9a58dae1900cd69a1
79,Huguenot,1,ナンテスの勅令は何をしたのか？,ユグノーに実質的な宗教的、政治的軍事的自治権を与えた,ユグノーに実質的な宗教的、政治的軍事的自治権を与えた。,実質的な宗教的、政治的軍事的自治権を与えた。,57105da9a58dae1900cd69a2
80,Steam_engine,1,原子力、地熱とともに注目すべき非燃焼熱源は何か？,太陽光,太陽光,太陽光、原子力、地熱,57112686b654c5140001fbd3
81,Steam_engine,1,理想的な熱力学的サイクルは何と呼ばれるか？,ランキンサイクル,ランキン,ランキンサイクル,57112686b654c5140001fbd4
82,Steam_engine,1,ランキンサイクルにおいて加熱されると水は何になるのか？,蒸気,蒸気,蒸気,57112686b654c5140001fbd5
83,Steam_engine,1,ランキンサイクルでは水はどのくらいの圧力で加熱されるか？,高い,高い圧力で,高い圧力,57112686b654c5140001fbd6
84,Steam_engine,1,蒸気機関はどのような種類のエンジンか？,外部燃焼エンジン,外部燃焼エンジン,外部燃焼エンジン,57112686b654c5140001fbd7
85,Oxygen,1,酸素の周期律表での原子番号は何か？,原子番号8,8,8,571a484210f8ca1400304fbd
86,Oxygen,1,2番目に豊富な要素は何か？,ヘリウム,ヘリウム,ヘリウム,571a484210f8ca1400304fbe
87,Oxygen,1,いくつの原子が結合して酸素分子を構成するか？,2つの原子,2つ,2つ,571a484210f8ca1400304fc0
88,Oxygen,1,どのくらいの酸素が地球の地殻を構成しているか？,ほぼ半分,ほぼ半分,半分,571a484210f8ca1400304fc1
89,Oxygen,1,地球の大気の20.80%を構成しているのはどの気体か？,酸素分子ガス,酸素分子,酸素分子ガス,571a484210f8ca1400304fbf
90,Oxygen,1,酸素分子は地球の大気のどのくらいの割合を占めるか？,20.80%,20.80%,20.80%,571bb2269499d21900609ca9
91,Oxygen,1,地球の地殻の質量のほぼ半分を閉める元素は何か？,酸素,酸素,酸化化合物,571bb2269499d21900609caa
92,Oxygen,1,酸素の原子番号は何か？,8,8,8,571bb2269499d21900609cab
93,Oxygen,1,待機中の酸素レベルは上がっているか、下がっているか、ほぼ同じか？,世界規模で下がっている,下がっている,下がっている,571bb2269499d21900609cad
94,Oxygen,1,宇宙空間でもっとも豊富な3つの元素は何か？,酸素は水素とヘリウムに次いで宇宙空間で3番目に豊富な元素である。,酸素は水素とヘリウムに次いで宇宙空間で3番目に豊富な元素である。,酸素は水素とヘリウムに次いで宇宙空間で3番目に豊富な元素である。,571bb2269499d21900609cac
95,Oxygen,1,酸素の原子番号は何か？,8,8,8,571c3a685efbb31900334db2
96,Oxygen,1,酸素は周期表のどのグループの一員か？,カルコゲン基,カルコゲン基,カルコゲン,571c3a685efbb31900334db3
97,Oxygen,1,酸素がもっとも一般的に形成するのはどのタイプの化合物か？,酸化物,酸化物,酸化物,571c3a685efbb31900334db4
98,Oxygen,1,他の元素と比べると、酸素は何番目か？,3番目,3番目,3番目,571c3a685efbb31900334db5
99,Oxygen,1,一般的な状況下において2つの酸素原子は何を構成するか？,酸素分子,酸素分子,酸素分子,571c3a685efbb31900334db6
100,1973_oil_crisis,1,1973年の石油危機はいつ始まったか？,1973年10月,1973年10月,1973年10月,5725b33f6a3fe71400b8952d
101,1973_oil_crisis,1,1974年3月の石油価格はどうだったか？,12ドル近く,12ドル,12ドル,5725b33f6a3fe71400b8952e
102,1973_oil_crisis,1,第2次石油危機はいつか？,1979年,1979年,1979,5725b33f6a3fe71400b8952f
103,1973_oil_crisis,1,石油危機を表すために使われた別の用語は何か？,第一次石油危機,ショック,石油危機,5725b33f6a3fe71400b89530
104,1973_oil_crisis,1,石油の禁輸を宣言したのは誰か？,アラブ石油輸出国機構（OAPEC、OPECとアラブ諸国とエジプト、シリア）,アラブ石油輸出国機構,OAPEC、OPECとアラブ諸国とエジプト、シリア,5725b33f6a3fe71400b89531
105,Apollo_program,1,最初にアメリカ人を宇宙に送ったプログラムは何か？,Project Mercury,宇宙船,Project Mercury,5725b41838643c19005acb7f
106,Apollo_program,1,米国人宇宙飛行計画を実行したプログムは何か？,Project Apolloとしても知られているアポロ計画,Project Apollo,アポロ計画,5725b41838643c19005acb80
107,Apollo_program,1,アポロの最初の有人飛行は何年に起こったか？,1968,1969,1962,5725b41838643c19005acb81
108,Apollo_program,1,最初にアメリカ人を宇宙空間に入れると構想したのはどの大統領か？,ドワイト・D・アイゼンハワー,ジョン・F・ケネディ,ジョン・F・ケネディ,5725b41838643c19005acb82
109,Apollo_program,1,プロジェクトマーキュリーに続くプロジェクトには何人いたか？,2,2人,2人,5725b41838643c19005acb83
110,European_Union_law,1,EU法の3つの原則は何か？,第一次法、第二次法および補則法,第一次法、第二次法および補則法,第一次法、第二次法および補則法,5725b7f389a1e219009abd5c
111,European_Union_law,1,EU法とは何か？,規則および指令などの条約および法律の体系,欧州連合（EU）加盟国の法律に直接的または間接的な影響を及ぼす規則および指令などの条約および法律の体系,条約および法律の体系,5725b7f389a1e219009abd5d
112,European_Union_law,1,第一次法の主な柱は何か？,欧州連合の設立をする条約,欧州連合の設立をする条約,欧州連合の設立をする条約,5725b7f389a1e219009abd5e
113,European_Union_law,1,第二次法は何を含んでいるか？,条約に基づいた規則及び指令,条約に基づいた規則及び指令,条約に基づいた規則及び指令,5725b7f389a1e219009abd5f
114,European_Union_law,1,欧州連合議会を構成する2つの組織は何か？,欧州議会と欧州連合評議会,欧州議会と欧州連合評議会,欧州議会と欧州連合評議,5725b7f389a1e219009abd60
115,European_Union_law,1,EU法とは何か？,規則および指令などの条約および法律の体系,欧州連合（EU）加盟国の法律に直接的または間接的な影響を及ぼす規則および指令などの条約および法律の体系,条約および法律の体系,5725c28a271a42140099d14d
116,European_Union_law,1,EU法は加盟国の法律にどのような影響を及ぼすか？,加盟国の法律に直接的または間接的な影響を及ぼす,直接的または間接的な影響,直接的または間接的,5725c28a271a42140099d14e
117,European_Union_law,1,EU法の3つの原則は何か？,第一次法、第二次法および補則法,第一次法、第二次法および補則法,第一次法、第二次法および補則法,5725c28a271a42140099d14f
118,European_Union_law,1,欧州連合の主要な立法機関は何か？,欧州議会と欧州連合評議会,欧州議会と欧州連合評議会,欧州議会と欧州連合評議,5725c28a271a42140099d150
119,European_Union_law,1,EU法の3つの原則は何であるか？,第一次法、第二次法および補則法,第一次法、第二次法および補則法,第一次法、第二次法および補則法,57268b43dd62a815002e88f0
120,European_Union_law,1,第一次法の主な柱は何か？,欧州連合の設立をする条約,欧州連合の設立をする条約,欧州連合の設立をする条約,57268b43dd62a815002e88f1
121,European_Union_law,1,欧州連合の主要な立法機関は何か？,欧州議会と欧州連合評議会,欧州議会と欧州連合評議会,欧州議会と欧州連合評議,57268b43dd62a815002e88f2
122,European_Union_law,1,EU法にはいくつの原則があるか？,3つ,3つ,3つ,57268b43dd62a815002e88f3
123,Amazon_rainforest,1,アマゾンの熱帯雨林を英語で何と表現するか？,AmazoniaまたはAmazon Jungle,Amazon Jungle,Amazonia,5725b81b271a42140099d097
124,Amazon_rainforest,1,流域には何平方キロメートルの熱帯雨林があるか？,"5,500,000平方キロメートル（2,100,000平方マイル）","5,500,000","5,500,000平方キロメートル",5725b81b271a42140099d098
125,Amazon_rainforest,1,この地域をいくつの国が統制しているか？,9,9つ,9つ,5725b81b271a42140099d099
126,Amazon_rainforest,1,いくつの国の名前に「Amazonas」が含まれているか？,4,4か国,4か国の州または部門,5725b81b271a42140099d09a
127,Amazon_rainforest,1,アマゾンは地球上の熱帯雨林のどのくらいを占めているか？,半分以上,半分以上,半分以上,5725b81b271a42140099d09b
128,Amazon_rainforest,1,アマゾン熱帯雨林を表すオランダ語は何か？,Amazoneregenwoud,Amazoneregenwoud,Amazoneregenwoud,5728349dff5b5019007d9efe
129,Amazon_rainforest,1,南アメリカのアマゾン流域の大部分を占めるのは何の熱帯雨林か？,アマゾン熱帯雨林,アマゾン熱帯雨林,アマゾン,5728349dff5b5019007d9eff
130,Amazon_rainforest,1,どの国でアマゾンの熱帯雨林はもっとも見つかるか？,ブラジル,ブラジル,ブラジル,5728349dff5b5019007d9f00
131,Amazon_rainforest,1,アマゾンは地球上の熱帯雨林のどのくらいを占めているか？,半分以上,半分以上,半分以上,5728349dff5b5019007d9f01
132,Amazon_rainforest,1,アマゾンの熱帯雨林で何種類の木が発見されうるか？,"16,000種","16,000種","16,000",5728349dff5b5019007d9f02
133,Amazon_rainforest,1,アマゾンの熱帯雨林はどの種類の森林か？,湿った広葉樹林,湿った広葉樹林,熱帯,5729e2316aef0514001550c4
134,Amazon_rainforest,1,アマゾン川流域は何平方キロメートルか？,"7,000,000平方キロメートル（2,700,000平方マイル）","7,000,000","7,000,000平方キロメートル",5729e2316aef0514001550c5
135,Amazon_rainforest,1,アマゾン川流域にはいくつの国が含まれるか？,9つの国,9つ,9つ,5729e2316aef0514001550c6
136,Amazon_rainforest,1,どの国がアマゾンの熱帯雨林の在部分を占めるか？,ブラジル,ブラジル,ブラジル,5729e2316aef0514001550c7
137,Amazon_rainforest,1,アマゾンの熱帯雨林で何種類の木が発見されうるか？,"16,000種","16,000種","16,000",5729e2316aef0514001550c8
138,Ctenophora,1,有櫛動物は一般的に何として知られているか？,櫛ゼリー,櫛ゼリー,櫛ゼリー,5725b9db38643c19005acbe1
139,Ctenophora,1,有櫛動物はどこに住んでいるか？,世界中の海域,世界中の海域,海域,5725b9db38643c19005acbe2
140,Ctenophora,1,成体の有櫛動物のどんなサイズか？,数ミリメートルから1.5メートル,数ミリメートルから1.5メートル（4フィート11インチ）,数ミリメートルから1.5メートル,5725b9db38643c19005acbe3
141,Ctenophora,1,有櫛動物とは何か？,世界中の海域に住む動物の分類群,動物の分類群,櫛ゼリー,5725c0f289a1e219009abdf2
142,Ctenophora,1,有櫛動物が泳ぐために使っているのは何か？,繊毛のまとまりである「櫛」,繊毛,繊毛,5725c0f289a1e219009abdf3
143,Ctenophora,1,消化と呼吸の両方のために有櫛動物が使っているのは何か？,体腔を通る水の流れ,水の流れ,体腔を通る水の流れ,5725c0f289a1e219009abdf4
144,Ctenophora,1,有櫛動物は成長するとどのくらいの大きさになることができるか？,1.5メートル（4フィート11インチ）,数ミリメートルから1.5メートル（4フィート11インチ）,数ミリメートルから1.5メートル,5725c0f289a1e219009abdf5
145,Ctenophora,1,有櫛動物の最も特徴的な機能は何か？,繊毛のまとまりである「櫛」,櫛,「櫛」,5725c0f289a1e219009abdf6
146,Ctenophora,1,有櫛動物は一般的に何として知られているか？,櫛ゼリー,櫛ゼリー,櫛ゼリー,57263eaa38643c19005ad371
147,Ctenophora,1,有櫛動物は成長するとどのくらいの大きさになることができるか？,1.5メートル（4フィート11インチ）,1.5メートル（4フィート11インチ）,数ミリメートルから1.5メートル,57263eaa38643c19005ad372
148,Ctenophora,1,有櫛動物が消化と呼吸の両方のために何に依存しているか？,体腔を通る水の流れ,体腔を通る水の流れ,体腔を通る水の流れ,57263eaa38643c19005ad373
149,Ctenophora,1,有櫛動物はギリシャ語で何を意味しているか？,κτείςのkteis「櫛」とφέρωpherō「キャリー」,κτείςのkteis「櫛」とφέρωpherō「キャリー」,κτείςのkteis「櫛」とφέρωpherō「キャリー」,57263eaa38643c19005ad374
150,Ctenophora,1,有櫛動物はどこに生息しているか？,海域,世界中の海域,海域,57263eaa38643c19005ad375
151,"Fresno,_California",1,カリフォルニア州で5番目の都市はどの都市か？,Fresno,Fresno,Fresno,5725ce4d38643c19005acd4d
152,"Fresno,_California",1,Fresnoはロサンゼルスからどのくらい遠いか？,200マイル,200マイル（350キロ）,200マイル（350キロ）,5725ce4d38643c19005acd4e
153,"Fresno,_California",1,Fresnoという名前はスペイン語で何を意味しているか？,灰の木,灰の木,灰の木,5725ce4d38643c19005acd4f
154,"Fresno,_California",1,Fresnoの市の旗に掲載されているのは何か？,灰の木の葉,灰の木の葉,木の葉,5725ce4d38643c19005acd50
155,"Fresno,_California",1,Fresnoはどう発音するか？,（/frɛznoʊ/ FREZ-noh）,FREZ-noh,FREZ-noh,5725ce4d38643c19005acd51
156,Packet_switching,1,Paul Baranが発明したのは何か？,Distributed Adaptive Block Switching,Distributed Adaptive Block Switchingの概念,Distributed Adaptive Block Switching,5725d34089a1e219009abf50
157,Packet_switching,1,Distributed Adaptive Block Switchingは何をしたのか？,電気通信メッセージのfault-tolerantで効率的なルーティング方法を供給する,電気通信メッセージのfault-tolerantで効率的なルーティング方法を供給する,電気通信メッセージのfault-tolerantで効率的なルーティング方法,5725d34089a1e219009abf51
158,Packet_switching,1,この概念は何と矛盾したか？,ネットワーク帯域幅の事前割り振りのこれまでに確立された原理と相反し矛盾した,Bell Systemにおける電気通信の発展によって主に強化された、ネットワーク帯域幅の事前割り振りのこれまでに確立された原理,ネットワーク帯域幅の事前割り振りのこれまでに確立された原理,5725d34089a1e219009abf52
159,Packet_switching,1,Donald Daviesは何を信じているのか？,10年後のヨーロッパにおける多数のパケット交換ネットワークを信じている。,modern name packet switchingと、米国の初期ARPANETにおけるコンセプトの導入を含む、10年後のヨーロッパにおける多数のパケット交換ネットワーク,modern name packet switchingと、米国の初期ARPANETにおけるコンセプトの導入を含む、10年後のヨーロッパにおける多数のパケット交換ネットワーク,5725d34089a1e219009abf53
160,Packet_switching,1,1950年代後半にPaul Baranが発明したのは何か？,Distributed Adaptive Block Switchingの概念,Distributed Adaptive Block Switchingの概念,Distributed Adaptive Block Switching,572632ceec44d21400f3dc2f
161,Packet_switching,1,そのシステムの目的は何か？,電気通信メッセージのfault-tolerantで効率的なルーティング方法を供給するという目的,電気通信メッセージのfault-tolerantで効率的なルーティング方法を供給する,電気通信メッセージのfault-tolerantで効率的なルーティング方法を供給する,572632ceec44d21400f3dc30
162,Packet_switching,1,このシステムのmodern nameを信じているのは誰か？,Daviesは、modern name packet switchingと、米国の初期ARPANETにおけるコンセプトの導入を含む、10年後のヨーロッパにおける多数のパケット交換ネットワークを信じている。,Donald Davies,Davies,572632ceec44d21400f3dc31
163,Black_Death,1,黒死病の起源はどこか？,中央アジアの乾燥平原,中央アジア,中央アジア,57264684708984140094c123
164,Black_Death,1,黒死病はどうやって地中海とヨーロッパに運ばれたか？,商業船,商業船,シルクロード,57264684708984140094c124
165,Black_Death,1,ヨーロッパ人口のどのくらいが黒死病に殺されたか？,ヨーロッパの全人口の30から60%,ヨーロッパの全人口の30から60%,30から60%,57264684708984140094c125
166,Black_Death,1,世界人口の水準が黒死病から最終的に回復したのはいつか？,17世紀,17世紀,17世紀,57264684708984140094c126
167,Black_Death,1,その疫病はどのくらいの間留まったのか？,19世紀まで,19世紀まで,19世紀,57264684708984140094c127
168,Geology,1,火成岩は何から結晶化するか？,マグマまたは溶岩,溶融物,溶融物（マグマまたは溶岩）,572657d9dd62a815002e8230
169,Geology,1,堆積岩はどの3種類の岩石になるか？,変成岩,変成岩,変成岩,572657d9dd62a815002e8231
170,Geology,1,3つのタイプの岩石は再溶融されるとき、何が形成されるか？,新たなマグマ,火成岩,新たなマグマ,572657d9dd62a815002e8232
