question_id,title,paragraph_id,question,ans_1,ans_2,ans_3,question_id_unique
171,Geology,1,3種類の主要な岩石とは何か？,火成岩、堆積岩、変成岩,火成岩、堆積岩、変成岩,火成岩、堆積岩、変成岩の3種類,572657d9dd62a815002e8233
172,Geology,1,岩石のミネラル含有量を変化させるのは何か？,熱と圧力,熱と圧力,熱と圧力,572657d9dd62a815002e8234
173,Newcastle_upon_Tyne,1,NewcastleはEdinburghの南に何マイルにあるか？,103,103マイル,103マイル,5726642f5951b619008f7157
174,Newcastle_upon_Tyne,1,Newcastleは北海の北に何マイルにあるか？,8.5,8.5マイル,8.5マイル,5726642f5951b619008f7158
175,Newcastle_upon_Tyne,1,Newcastleがメンバーとなっているのは何のネットワークか？,Eurocities network,Eurocities network,English Core Cities Group,5726642f5951b619008f7159
176,Newcastle_upon_Tyne,1,1400年までNewcastleはどの郡の一部だったか？,Northumberland,Northumberland,Northumberland郡,5726642f5951b619008f715a
177,Newcastle_upon_Tyne,1,Newcastleとその周辺地域の地域的なニックネームは何か？,Geordie,Geordie,Geordie,5726642f5951b619008f715b
178,Victoria_and_Albert_Museum,1,ヴィクトリア・アンド・アルバート博物館はどこに位置しているか？,V&AはKensington and Chelsea王族行政区にあるBrompton地区に位置,ロンドン,Kensington and Chelsea王族行政区にあるBrompton地区,5726710b708984140094c61d
179,Victoria_and_Albert_Museum,1,何点の永久保存のコレクションが保有されているか？,"4,500,000以上の永久保存のコレクション","4,500,000以上","4,500,000以上",5726710b708984140094c61e
180,Victoria_and_Albert_Museum,1,ヴィクトリア・アンド・アルバート博物館はいつ創設されたか？,それは1852年に創設され,1852,1852,5726710b708984140094c61f
181,Victoria_and_Albert_Museum,1,その美術館の名前が由来するのは誰か？,ヴィクトリア女王とアルバート王子,ヴィクトリア女王とアルバート王子に由来している,ヴィクトリア女王,5726710b708984140094c620
182,Victoria_and_Albert_Museum,1,どの地区にヴィクトリア・アンド・アルバート博物館は位置しているか？,Kensington and Chelsea王族行政区にあるBrompton地区,Kensington and Chelsea王族行政区,Brompton地区,572680ac708984140094c83d
183,Victoria_and_Albert_Museum,1,ヴィクトリア・アンド・アルバート博物館が創建されたのは何年か？,1852,1852,1852,572680ac708984140094c83e
184,Victoria_and_Albert_Museum,1,ヴィクトリア・アンド・アルバート博物館の名前が由来するのはどの君主か？,ヴィクトリア女王とアルバート王子に由来している,ヴィクトリア女王とアルバート王子に由来している,ヴィクトリア女王とアルバート王子,572680ac708984140094c83f
185,Victoria_and_Albert_Museum,1,ヴィクトリア・アンド・アルバート博物館を後援するのはどの省庁か？,デジタル・文化・メディア・スポーツ省,デジタル・文化・メディア・スポーツ省,デジタル・文化・メディア・スポーツ省,572680ac708984140094c840
186,Victoria_and_Albert_Museum,1,その美術館が入館を無料にしたのは何年か？,2001,2001,2001,572680ac708984140094c841
187,American_Broadcasting_Company,1,アメリカン・ブロードキャスティング・カンパニーを所有するのはどの会社か？,ウォルト・ディズニー・カンパニー,ディズニーABCテレビジョングループ,ディズニーABCテレビジョングループ,57267b755951b619008f7433
188,American_Broadcasting_Company,1,アメリカン・ブロードキャスティング・カンパニーがロゴをabcというスタイルにしたのは何年か？,1957,1957,1957,57267b755951b619008f7434
189,American_Broadcasting_Company,1,アメリカン・ブロードキャスティング・カンパニーはニューヨーク市のどの地区に本社があるか？,マンハッタン,マンハッタン,マンハッタン,57267b755951b619008f7435
190,American_Broadcasting_Company,1,アメリカン・ブロードキャスティング・カンパニーの本社はどの通りに位置しているか？,Columbus Avenue and West 66th Street,Columbus Avenue and West 66th Street,Columbus Avenue and West 66th Street,57267b755951b619008f7436
191,American_Broadcasting_Company,1,ディズニーABCテレビジョングループはウォルト・ディズニー・カンパニーのどの部門の子会社か？,メディア・ネットワーク,メディア・ネットワーク,メディア・ネットワーク,57267b755951b619008f7437
192,Genghis_Khan,1,ジンギスカンが創設した帝国は何と呼ばれるか？,モンゴル帝国,モンゴル帝国,モンゴル帝国,57269e8a5951b619008f77f5
193,Genghis_Khan,1,ユーラシアの残りを征服し始める前にジンギスカンが結集したのは誰か？,北東アジアの遊牧民の多く,北東アジアの遊牧民,北東アジアの遊牧民の多く,57269e8a5951b619008f77f6
194,Genghis_Khan,1,特にどの地域で民間人の大量虐殺を行ったか？,KhwarezmianとXiaの征服地域,KhwarezmianとXiaの征服地域,"Qara Khitai, Caucasus, Khwarezmid Empire, Western Xia, Jin王朝",57269e8a5951b619008f77f7
195,Genghis_Khan,1,生涯の終わりまでジンギスカンが占領していたのはどの地域か？,中央アジア及び中国,中央アジア及び中国のかなりの部分,中央アジア及び中国のかなりの部分,57269e8a5951b619008f77f8
196,Genghis_Khan,1,ジンギスカンは他のどの帝国や王朝を征服したか？,"Qara Khitai, Caucasus, Khwarezmid Empire, Western Xia, Jin王朝","Qara Khitai, Caucasus, Khwarezmid Empire, Western Xia, Jin王朝","Qara Khitai, Caucasus, Khwarezmid Empire, Western Xia, Jin王朝",57269e8a5951b619008f77f9
197,Pharmacy,1,薬局という言葉はどの言葉に由来しているか？,pharmaという単語に由来している,pharma,pharma,5726d8bd708984140094d35b
198,Pharmacy,1,pharmaで販売されていたのはどんな商品か？,タバコおよび特許医薬品,タバコおよび特許医薬品,タバコおよび特許医薬品,5726d8bd708984140094d35c
199,Pharmacy,1,ギリシャ語の語源は何を暗示しているか？,魔術や毒薬,魔術や毒薬,魔術,5726d8bd708984140094d35d
200,Pharmacy,1,現代の英語話者はapothecaryという単語をどう捉えるか？,時代遅れか、薬草的療法が大いに提供される場合にのみ適切である,時代遅れ,時代遅れ,5726d8bd708984140094d35e
201,Pharmacy,1,pharmasにより使われたのはその他に何か？,リスト化されていないその他多くの薬草,その他多くの薬草,リスト化されていないその他多くの薬草,5726d8bd708984140094d35f
202,Immune_system,1,免疫系とは何か？,病気から守る生体内の多くの生物学的構造およびプロセスの系,病気から守る生体内の多くの生物学的構造およびプロセスの系,病気から守る生体内の多くの生物学的構造およびプロセスの系,5726e65e708984140094d53d
203,Immune_system,1,免疫系とは何を防御しているか？,ウイルスから寄生虫への病原体として知られている多種多様な動作主体,病気,病気,5726e65e708984140094d53e
204,Immune_system,1,その下位組織のうちの2つは何か？,自然免疫系対適応免疫系、または体液性免疫対細胞性免疫,自然免疫系対適応免疫系、または体液性免疫対細胞性免疫,自然免疫系対適応免疫系、または体液性免疫対細胞性免疫,5726e65e708984140094d53f
205,Immune_system,1,ヒトの脳を保護する部分系は何か？,神経免疫系,神経免疫系,神経免疫系,5726e65e708984140094d540
206,Immune_system,1,免疫系とは何か？,病気から守る生体内の多くの生物学的構造およびプロセス,病気から守る生体内の多くの生物学的構造およびプロセスの系,病気から守る生体内の多くの生物学的構造およびプロセスの系,5726eb76f1498d1400e8efda
207,Immune_system,1,免疫系とは何を防御しているか？,ウイルスから寄生虫への病原体,病気,病気,5726eb76f1498d1400e8efdb
208,Immune_system,1,その下位組織は何か？,体液性免疫対細胞性免疫,自然免疫系対適応免疫系、または体液性免疫対細胞性免疫,自然免疫系対適応免疫系、または体液性免疫対細胞性免疫,5726eb76f1498d1400e8efdc
209,Immune_system,1,免疫系は生体を何から守っているか？,病気,病気,病気,5728eff82ca10214002daadc
210,Immune_system,1,免疫系が検出する動作主体は何として知られているか？,寄生虫への病原体,病原体,病原体,5728eff82ca10214002daadd
211,Immune_system,1,免疫系のどの部分が脳を保護しているか？,神経免疫系,神経免疫,神経免疫,5728eff82ca10214002daade
212,Immune_system,1,末梢免疫系と脳を保護する神経免疫系を分離するのは何か？,血液脳関門、血液脳脊髄液関門および同様の液脳関門,血液脳関門、血液脳脊髄液関門および同様の液脳関門,血液脳関門、血液脳脊髄液関門および同様の液脳関門,5728eff82ca10214002daadf
213,Immune_system,1,免疫系により検出される動作主体は何と呼ばれるか？,寄生虫への病原体,病原体,病原体,572a14af3f37b319004786c1
214,Immune_system,1,免疫系の主要な2つの下位組織は何か？,自然免疫系対適応免疫系、または体液性免疫対細胞性免疫,自然免疫系対適応免疫系、または体液性免疫対細胞性免疫,自然免疫系対適応免疫系、または体液性免疫対細胞性免疫,572a14af3f37b319004786c3
215,Immune_system,1,2種類の免疫力は何か？,自然免疫系対適応免疫系、または体液性免疫対細胞性免疫,自然免疫系対適応免疫系、または体液性免疫対細胞性免疫,自然免疫系対適応免疫系、または体液性免疫対細胞性免疫,572a14af3f37b319004786c2
216,Immune_system,1,脳の免疫系は何として知られているか？,脳を保護する神経免疫系,神経免疫,神経免疫系,572a14af3f37b319004786c4
217,Civil_disobedience,1,不公平な法であると人々が判断したものに対して社会の人々が反乱するときそれは何と呼ばれるか？,不服従,民間の不服従,民間の不服従,57271c235951b619008f860b
218,Civil_disobedience,1,南アフリカの主要な民間の不服従の例は何か？,アパルトヘイト,アパルトヘイト,アパルトヘイトとの戦い,57271c235951b619008f860c
219,Civil_disobedience,1,バルト諸国がソビエト連邦から独立した動きは何と呼ばれるか？,歌唱革命,歌唱革命,歌唱革命,57271c235951b619008f860d
220,Civil_disobedience,1,2004年のオレンジ革命はどの国で発生したか？,ウクライナ,ウクライナ,ウクライナ,57271c235951b619008f860e
221,Civil_disobedience,1,2003年のローズ革命の場所はどこか？,ジョージア州,ジョージア州,ジョージア州,57271c235951b619008f860f
222,Civil_disobedience,1,民間の不服従の最初の例の一つをもたらしたのはどの人々か？,エジプト人,エジプト人,エジプト人,5728d4c03acd2414000dff9f
223,Civil_disobedience,1,民間の服従の最初の例は誰に反対するものであったか？,英国,英国,英国の占領に反対するエジプト人により、1919年の革命においてもたらされた,5728d4c03acd2414000dffa0
224,Civil_disobedience,1,なぜ人々は抵抗するために民間の不服従を選択するのか？,非暴力抵抗,不公平な法であると人々が判断した,非暴力抵抗運動,5728d4c03acd2414000dffa1
225,Civil_disobedience,1,民間の不服従は何に対して抵抗するのか？,不公平な法,不公平な法,不公平な法であると人々が判断したもの,5728d4c03acd2414000dffa2
226,Civil_disobedience,1,アメリカで民間の不服従として知られるのはどの公民権運動か？,アメリカの公民権運動,アメリカの公民権運動,公民権運動,5728d4c03acd2414000dffa3
227,Construction,1,建物やインフラを建造する過程は何か？,建設,建設,建設,57273a465951b619008f86ff
228,Construction,1,典型的には指定された購入者のない類似の品目の大量生産を含むのは何か？,製造,製造,製造,57273a465951b619008f8700
229,Construction,1,建設は国内総生産の何%を構成するか？,6から9%,6から9%,6から9%,57273a465951b619008f8701
230,Construction,1,建設のために必要な3つのものは何か？,計画、設計、資金調達,計画、設計、資金調達,計画、設計、資金調達,57273a465951b619008f8702
231,Construction,1,建築は誰のための場所で構築されるか？,既知のクライアント,クライアント,既知のクライアント,57273a465951b619008f8703
232,Private_school,1,私立学校は民間の学校とともに何と呼ばれるか？,独立学校,独立学校,独立学校,572746addd62a815002e9a5e
233,Private_school,1,スポーツとアートの他にどんな種類の奨学金があるか？,学問,学問,学問,572746addd62a815002e9a5f
234,Private_school,1,強制課税ではなく、私立学校が大きく資金を提供されているのは何か？,授業料,授業料,学生の授業料を請求する,572746addd62a815002e9a60
235,Private_school,1,公立学校が持たない私立学校の権利は何か？,学生を選択する権利,学生を選択する権利,学生を選択する,572746addd62a815002e9a61
236,Harvard_University,1,その学校の名前は誰に由来するか？,John Harvard,John Harvard,John Harvard,5727aa413acd2414000de921
237,Harvard_University,1,学部のプログラムはいつ共学になったか？,1977,1977,1977,5727aa413acd2414000de922
238,Harvard_University,1,大恐慌と第二次世界大戦を通してハーバードの主導者の名前は何か？,James Bryant Conant,James Bryant Conant,James Bryant Conant,5727aa413acd2414000de923
239,Harvard_University,1,1900年にハーバードが創設した組織は何か？,Association of American Universities,Association of American Universities,Association of American Universities,5727aa413acd2414000de924
240,Harvard_University,1,その大学を近代的な研究大学に変えたのはどの大統領か？,Charles W. Eliot,Charles W. Eliot,Charles W. Eliot,5727aa413acd2414000de925
241,"Jacksonville,_Florida",1,人口ではフロリダ州において最大の都市はどこか？,Jacksonville,Jacksonville,Jacksonville,5727c94bff5b5019007d954a
242,"Jacksonville,_Florida",1,Jacksonvilleの2010年における人口は何人か？,"1,345,596","1,345,596","1,345,596",5727c94bff5b5019007d954b
243,"Jacksonville,_Florida",1,Jacksonvilleは米国で何番目に人口が多い都市か？,12番目,12番目,12,5727c94bff5b5019007d954c
244,"Jacksonville,_Florida",1,Jacksonvilleが位置しているのはどの郡か？,Duval,Duval郡,Duval郡,5727c94bff5b5019007d954d
245,"Jacksonville,_Florida",1,Jacksonvilleの市政府が統合したのは何年か？,1869年,1869年,1869,5727c94bff5b5019007d954e
246,Economic_inequality,1,人口の1%は世界の資産の何%を所有していたか？,40%,40%,40%,5727e6cbff5b5019007d97ee
247,Economic_inequality,1,Oxfamの報告によると、世界の富裕層85人は世界人口のどれだけを合わせたのと等しい富を持つか？,世界人口の下位50% 、つまり約35億人,世界人口の下位50%,50%,5727e6cbff5b5019007d97ef
248,Economic_inequality,1,上位1%となるために、人はどの程度資産を保有する必要があるか？,"759,900ドル","759,900ドル","759,900ドル",5727e6cbff5b5019007d97f0
249,Economic_inequality,1,Oxfamの主張に対して、何に基づいて疑問が呈されたか？,使用された方法論,使用された方法論,「馬鹿げた議論」,5727e6cbff5b5019007d97f1
250,Economic_inequality,1,Oxfamの報告書はなぜ疑問のある結果とされたか？,使用された方法論,馬鹿げた議論,アメリカや西ヨーロッパには中国よりも貧しい人々が多い,5727e6cbff5b5019007d97f2
251,Economic_inequality,1,2000年には人口のたった1%が世界の資産の何%を所有していたか？,40%,40%,40%,5729d36b1d04691400779607
252,Economic_inequality,1,世界で最も富裕な3人は何を最低48か国を合わせたものより多く保有しているか？,最低48カ国を合わせたものよりも多くの金融資産,金融資産,最低48カ国を合わせたものよりも多くの金融資産,5729d36b1d04691400779608
253,Economic_inequality,1,2008年に「1000万ドルの億万長者」の富を合わせたものはいくらであったか？,ほぼ41兆ドル,ほぼ41兆ドル,41兆ドル,5729d36b1d04691400779609
254,Economic_inequality,1,2016年までに富裕層1%は世界の富のどのくらいを所有すると報告されたか？,世界の富の半分以上,半分以上,2016年までに世界の富の半分以上を所有する,5729d36b1d0469140077960a
255,Economic_inequality,1,なぜアメリカや西ヨーロッパには中国よりも貧しい人々が多いのか？,債務を負担する傾向が強いため,債務を負担する傾向が強いため,純財産（資産を積み重ね、債務を減じる）に基づいてアメリカや西ヨーロッパには中国よりも貧しい人々が多い （債務を負担する傾向が強いため）,5729d36b1d0469140077960b
256,Doctor_Who,1,Doctor Whoを制作したのは誰か？,BBC,BBC,BBC,5727efabff5b5019007d98e2
257,Doctor_Who,1,Doctor Whoが初めてテレビで放映されたのはいつか？,1963,1963年,1963年,5727efabff5b5019007d98e3
258,Doctor_Who,1,Doctor Whoの宇宙船は何と呼ばれるか？,TARDIS,TARDIS,TARDIS,5727efabff5b5019007d98e4
259,Doctor_Who,1,TARDISはどのような外装であったか？,青い英国の交番,英国の交番,青い英国の交番,5727efabff5b5019007d98e5
260,Doctor_Who,1,Doctor Whoはどのようなジャンルのテレビ番組であったか？,SF (science fiction）,science fiction,SF,5727efabff5b5019007d98e6
261,University_of_Chicago,1,シカゴ大学はどんな大学か？,私立研究大学,私立研究大学,シカゴにある私立研究大学,57283c464b864d19001647c8
262,University_of_Chicago,1,シカゴ大学はいつ設立されたか？,1890年,1890,1890,57283c464b864d19001647c9
263,University_of_Chicago,1,シカ大学にはいくつの職業学校があるか？,7つの職業学校,7つ,7つ,57283c464b864d19001647ca
264,University_of_Chicago,1,シカゴ大学はいくつの学術研究部門を持つか？,4つ,4つ,4つ,57283c464b864d19001647cb
265,University_of_Chicago,1,シカゴ大学は全体で何人の学生が入学しているか？,"約5,000人","約15,000人","5,000",57283c464b864d19001647cc
266,Yuan_dynasty,1,the Yuan dynastyの中国語の名前は何か？,Yuán Cháo,Yuán Cháo,元朝,57285ed5ff5b5019007da1b6
267,Yuan_dynasty,1,the Yuan dynastyの正式名称は何か？,the Great Yuan,the Great Yuan,the Great Yuan,57285ed5ff5b5019007da1b7
268,Yuan_dynasty,1,the Yuan dynastyを設立したのは誰か？,Kublai Khan,Kublai Khan,Kublai Khan,57285ed5ff5b5019007da1b8
269,Yuan_dynasty,1,モンゴルのBorjigin族のリーダーは誰か？,Kublai Khan,Kublai Khan,Kublai Khan,57285ed5ff5b5019007da1b9
270,Yuan_dynasty,1,Kublai Khanが正式に中国の伝統的な形式で王朝を宣言したのはいつか？,1271,1271,1271,57285ed5ff5b5019007da1ba
271,Kenya,1,ケニアはどこに位置しているか？,アフリカ,アフリカ,アフリカ,5728dab94b864d1900164f96
272,Kenya,1,ケニアは何の創設メンバーか？,the East African Community (EAC),East African Community,EAC,5728dab94b864d1900164f97
273,Kenya,1,ケニアの首都はどこか？,ナイロビ,ナイロビ,ナイロビ,5728dab94b864d1900164f98
274,Kenya,1,ケニアが南に面しているのはどこか？,タンザニア,タンザニア,タンザニア,5728dab94b864d1900164f99
275,Kenya,1,2014年6月時点でどのくらいの人口を有しているか？,"約4,500万人","4,500万人","約4,500万人",5728dab94b864d1900164f9a
276,Intergovernmental_Panel_on_Climate_Change,1,IPCCはどの国際機関の一部か？,国連,国連,国連,57293b843f37b31900478133
277,Intergovernmental_Panel_on_Climate_Change,1,IPCCを設立したのは2つの国連機関どれか？,the World Meteorological Organization (WMO) と the United Nations Environment Programme (UNEP),the World Meteorological Organization (WMO) と the United Nations Environment Programme (UNEP),the World Meteorological Organization (WMO) と the United Nations Environment Programme (UNEP),57293b843f37b31900478134
278,Intergovernmental_Panel_on_Climate_Change,1,UNFCCCが安定させようとしているのは何か？,大気中の温室効果ガス濃度,温室効果ガス濃度,人為的な（すなわち人間による）危険な気候システムへの干渉を防止するレベルで、大気中の温室効果ガス濃度を安定させる,57293b843f37b31900478135
279,Intergovernmental_Panel_on_Climate_Change,1,気候変動に関する主要な国際条約は何か？,the United Nations Framework Convention on Climate Change (UNFCCC),the United Nations Framework Convention on Climate Change (UNFCCC),UNFCCC,57293b843f37b31900478136
280,Intergovernmental_Panel_on_Climate_Change,1,IPCCを承認した国連総会の決議はいくつか？,決議 43/53により国連総会で承認された,43/53,決議 43/53により国連総会で承認,57293b843f37b31900478137
281,Chloroplast,1,葉緑体の主要な役割は何か？,太陽光からエネルギーを取り込んでそれを変換し、エネルギー蓄積分子ATPおよびNADPHに貯蔵し、酸素を水から解放する光合成を行うこと,酸素を水から解放する光合成を行う,光合成,572953013f37b3190047824d
282,Chloroplast,1,ATPは何を貯蔵するか？,エネルギー,エネルギー,エネルギー,572953013f37b3190047824e
283,Chloroplast,1,NADPHは何を貯蔵するか？,エネルギー,エネルギー,エネルギー,572953013f37b3190047824f
284,Chloroplast,1,二酸化炭素から有機分子を作るためのプロセスは何として知られるか？,カルビン回路,カルビン回路,カルビン回路,572953013f37b31900478250
285,Chloroplast,1,1細胞あたりの葉緑体の数はいくつか？,1,100,1から100,572953013f37b31900478251
286,Prime_number,1,素数の1以外の除数は何か？,それ自身,それ自身,それ自身,57296d571d04691400779413
287,Prime_number,1,素数でない1より大きい自然数は何と呼ばれるか？,合成数,合成数,合成数,57296d571d04691400779414
288,Prime_number,1,数論における素数の中心的役割を確立するのは何の定理か？,算術の基本定理,算術の基本定理,算術の基本定理,57296d571d04691400779415
289,Prime_number,1,1より大きい任意の整数は何として表すことができるか？,素数の積,素数の積,素数の積,57296d571d04691400779416
290,Prime_number,1,なぜ1を素数として除外する必要があるのか？,定理の一意性は、1は任意の因数分解において任意の1を含むことができることで保証されるので,1は任意の因数分解において任意の1を含むことができる,定理の一意性は、1は任意の因数分解において任意の1を含むことができることで保証されるので,57296d571d04691400779417
291,Rhine,1,ライン川はどこで始まるのか？,スイスアルプス南東部のGraubündenのSwiss canton,Swiss canton,Graubünden,572f5533a23a5019007fc55b
292,Rhine,1,ライン川が通ってないのはどこか？,オランダ,オランダ,オランダ,572f5533a23a5019007fc55c
293,Rhine,1,ライン川の流域で最大の都市はどこか？,ドイツのCologne,Cologne,Cologne,572f5533a23a5019007fc55d
294,Rhine,1,ライン川より大きいのは中部及び西ヨーロッパのどの川か？,ドナウ川,ドナウ川,ドナウ川,572f5533a23a5019007fc55e
295,Rhine,1,ライン川のどのくらいの長さがあるか？,"約1,230キロメートル (760マイル)","1,230キロメートル",760マイル,572f5533a23a5019007fc55f
296,Rhine,1,ライン川はどこにあるか？,ヨーロッパ,中部及び西ヨーロッパ,中部及び西ヨーロッパ,572fe1d404bcaa1900d76e37
297,Rhine,1,ライン川が通ってないのはどの国か？,ドイツ,オランダ,オランダ,572fe1d404bcaa1900d76e3a
298,Rhine,1,ライン川は何キローメートルか？,"約1,230キロメートル","1,230キロメートル","1,230キロメートル",572fe1d404bcaa1900d76e3b
299,Scottish_Parliament,1,現在のスコットランド議会はいつ召集されたか？,1997,1998,1998,572fac17947a6a140053cb54
300,Scottish_Parliament,1,現在のスコットランド議会に譲渡された立法機関としての権力を与えたのは何か？,1998年のスコットランド法,スコットランド法,1998年のスコットランド法,572fac17947a6a140053cb55
301,Scottish_Parliament,1,スコットランド議会が立法権を有しているのはどの分野か？,Westminsterに明示的に留保されていない全ての分野,Westminsterに明示的に留保されていない全ての分野,Westminsterに明示的に留保されていない全ての分野,572fac17947a6a140053cb56
302,Scottish_Parliament,1,スコットランド議会の任期を変更する権限を保持し、法律を制定できる分野を拡大または縮小できるのはどこか？,Westminster,英国議会,英国議会,572fac17947a6a140053cb57
303,Scottish_Parliament,1,スコットランド議会はその立法権がどこに保有されていると明示的に留保されていない分野において立法権を持つか？,Westminster,Westminster,Westminster,572fac17947a6a140053cb58
304,Islamism,1,イスラム復興運動は何か？,政治イスラム教として知られているイスラム主義,イスラム主義,政治イスラム教,572ff626947a6a140053ce8e
305,Islamism,1,イスラム主義がイスラムの価値を実装すると試みているのは生活のどの領域か？,生活のあらゆる領域,生活のあらゆる領域,あらゆる領域,572ff626947a6a140053ce8f
306,Islamism,1,政府と社会に関してイスラム主義は何を好むか？,政府と社会の順序を変える (reordering）,reordering,Shari'aに従い、政府と社会の順序を変える (reordering）ことを好む,572ff626947a6a140053ce90
307,Islamism,1,異なるイスラム主義者の動きは何の間の振動として描写されてきたか？,2つの極,極,2つの極の間,572ff626947a6a140053ce91
308,Islamism,1,社会イスラム化戦略は何によって国家権力を掌握するか？,革命や侵略,革命や侵略,革命,572ff626947a6a140053ce92
309,Imperialism,1,帝国主義は何語の単語に由来するか？,ラテン語,ラテン,ラテン語,573060b48ab72b1400f9c4c6
310,Imperialism,1,帝国主義は何を通じて国の権力と影響力を拡大するか？,植民地化、軍事力やそのほかの手段の利用,軍事力,植民地化,573060b48ab72b1400f9c4c7
311,Imperialism,1,帝国主義という単語は西洋の以外ではどの国に適用されたか？,日本,日本,日本,573060b48ab72b1400f9c4c9
312,Imperialism,1,帝国主義は何が急速に広がることも許してきたか？,技術やアイディア,技術やアイディア,技術やアイディア,573060b48ab72b1400f9c4ca
313,United_Methodist_Church,1,UMCは何を表しているか？,合同メソジスト教会,合同メソジスト教会,合同メソジスト教会,5730982f396df919000961e2
314,United_Methodist_Church,1,合同メソジスト教会とは何か？,主流のプロテスタントのメソジスト宗派,主流のプロテスタントのメソジスト宗派,主流のプロテスタントのメソジスト宗派,5730982f396df919000961e3
315,United_Methodist_Church,1,合同メソジスト教会はいつ設立されたか？,1968年,1968,1968年,5730982f396df919000961e4
316,United_Methodist_Church,1,誰がUMCを設立したか？,the union of the Methodist Church（USA）とthe Evangelical United Brethren Churchの連合,the union of the Methodist Church（USA）とthe Evangelical United Brethren Churchの連合,the union of the Methodist Church（USA）とthe Evangelical United Brethren Church,5730982f396df919000961e5
317,United_Methodist_Church,1,その協会の神学的な起源は何にあるか？,Wesleyan,Wesleyan,Wesleyan,5730982f396df919000961e6
318,French_and_Indian_War,1,フレンチ・インディアン戦争はいつか？,1754–1763,1754–1763,1754–1763,5733cf61d058e614000b62e9
319,French_and_Indian_War,1,フレンチ・インディアン戦争で戦ったのは誰か？,British AmericaとNew Franceの植民地,British AmericaとNew Franceの植民地,British AmericaとNew Franceの植民地,5733cf61d058e614000b62ea
320,French_and_Indian_War,1,フランスの北米植民地には何人の人々がいたか？,"約60,000人のヨーロッパ人の定住者","約60,000人","60,000",5733cf61d058e614000b62eb
321,French_and_Indian_War,1,イギリスの北米植民地には何人の人々がいたか？,200万人,200万人,200万,5733cf61d058e614000b62ec
322,Force,1,古代の哲学者が単純な機械の研究において用いたのは何の概念か？,力,力,力,573735e8c3c5551400e51e71
323,Force,1,力とは一定速度の動により保持されるものであるという信念は何であったか？,根本的な誤り,根本的な誤り,根本的な誤り,573735e8c3c5551400e51e72
324,Force,1,数学的な視点に基づいて運動法則を定式化したのは誰か？,Sir Isaac Newton,Sir Isaac Newton,Sir Isaac Newton,573735e8c3c5551400e51e73
325,Force,1,どれくらいの期間、Sir Isaac Newtonの運動法則は改良されていないか？,300年,300年近く,300年近く,573735e8c3c5551400e51e74
326,Force,1,相対性理論を開発したのは誰か？,Einstein,Einstein,Einstein,573735e8c3c5551400e51e75
